source_file,source_path,date_from_filename,ingestion_status,error_type,error_message,file_size_bytes,sha256,session_date,sport,duration_s,distance_km,avg_hr,max_hr,calories,modeling_eligible
training-session-2022-07-07-7438082946-d27d5b16-ac92-449e-9352-d2497e3d1426.json,data/raw/polar/training-session-2022-07-07-7438082946-d27d5b16-ac92-449e-9352-d2497e3d1426.json,2022-07-07,unrecoverable_binary,BinaryContentError,Unable to decode source as UTF-8 or UTF-8-SIG,63773,dd809e58f6acc86ac731937597c5dfc0815523d917241923d13e1f77cf4f0790,,,,,,,,false
training-session-2022-10-25-7511911729-e68bd47f-625d-471b-8bfd-8fd390e6dd03.json,data/raw/polar/training-session-2022-10-25-7511911729-e68bd47f-625d-471b-8bfd-8fd390e6dd03.json,2022-10-25,unrecoverable_binary,BinaryContentError,Unable to decode source as UTF-8 or UTF-8-SIG,65280,fc432c53294bf76102a4a9301f7c0bba592daee28bc06d5749bce5203cbca179,,,,,,,,false
training-session-2023-03-21-7605645063-2925b53c-bf1a-47d0-87c2-e3eb54e8af69.json,data/raw/polar/training-session-2023-03-21-7605645063-2925b53c-bf1a-47d0-87c2-e3eb54e8af69.json,2023-03-21,unrecoverable_binary,BinaryContentError,Unable to decode source as UTF-8 or UTF-8-SIG,65415,5533caaa5d838b7e68ebf3c11dc2fa96af75ccb7f0865e01e695bfe226c56ee7,,,,,,,,false
training-session-2024-01-09-7795413708-f3155683-6b5a-4026-a662-716862f6b95c.json,data/raw/polar/training-session-2024-01-09-7795413708-f3155683-6b5a-4026-a662-716862f6b95c.json,2024-01-09,unrecoverable_binary,BinaryContentError,Unable to decode source as UTF-8 or UTF-8-SIG,61113,acca125e706ce0fecde07aa5b9105c0c612db4fa73cfd8a152283f5c14a14465,,,,,,,,false
